Review ID,Review
1,เป็นคนที่ชอบทาน Macchiato เป็นประจำ มีวันนึงเดินเข้าไปสั่ง ความคิดแรกที่เห็นปริมาณของกาแฟร้อนก็เฟลแล้ว มีอยู่ครึ่งแก้วน้อยๆได้ พอตอนดื่มยิ่งเฟลหนักกว่าเดิม หาความเป็น Macchiato ไม่เจอเลย หลังจากนี้ลาขาด กินกาแฟโบราณแก้วละ 20 บาทยังมีความสุขมากกว่าอีก
2,"Art of Coffee Kasetsart เป็นร้านกาแฟรสชาติเยี่ยม ราคาไม่แพง บรรยากาศนั่งสบาย 

พนักงานที่ร้านน่ารักมาก อัธยาศัยดี พูดจากับลูกค้าเพราะมาก ทำให้อยากไปอุดหนุนบ่อยๆ ^^

เมนูที่ต้องสั่ง 

-เอ๊กซ์เพรสโซ่ไอซ์ ลาเต้ไอซ คาราเมล มัคคิอาโต้

-ชาอัสสัมชาซีลอน

-อิตาเลียนโซดา"
3,"กวงทะเลเผา อาหารทะเลเค้าสดจริงๆเนื้อปูหวานไม่คาวเลยเนื้อกุ้งก็ทั้งหอมและมัน น้ำจ้ิมก็อร่อยเจ้มจ้นมีอาหารอร่อยหลากหลายรายการ ออส่วนมาในกระทะร้อนฉ่า เสริ์ฟทีมีแต่คนหันมามองเพราะเสียงดังมากกกกก เรียกความสนใจได้ดี แต่อร่อยนะแนะนำเลย ปลาหมึกไข่เค็มเมนูนี้แคเลทเตอรอลอาจจะสูงไปสักหน่อยแต่ห้ามพลาดเด็ดขาดเลยค่ะเพราะอร่อยมากยากบรรยาย ยิ่งทานตอนร้อนๆๆนะ 
ฮื้อ ขออีกจาน กุ้งอบวุ้นเส้นรสชาติดีก็อร่อยใช้ได้แต่มันมากๆ หมูสามชั้นก้นกระทะน้ำม้นงี้เยิ่มเลยถ้าทานช้าหายร้อนแล้วจะไม่อร่อยทันทีปูผัดพริกไทยดำ เนื้อปูสดรสชาติเข้มข้น หอมกลิ่นเครื่องเทศผัดจนเข้าไปผสมกับเนื้อปูกันเลยทีเดียว จานนี้ก็ห้ามพลาดเด็ดขาด ควรสั่งอย่างยิ่งโป๊ะแตก รสไม่จัดจ้านเท่าไรแต่ขอบอกแก้เลี่ยนได้ดีและคนไม่กินเผ็ดจะถูกใจมากเช่นนานา เพราะพอเข้าปากนะหือชุ่มคอ กินน้ำหมดหม้อเลยข้าวผัดปูไม่แนะนำตามหลักอาหารจีนถึงเราสั่งเป็นรายการแรกแต่ชอบเอามาส่งทีหลังแล้วจะทานกะอะไรล่ะกินกับจะเกลี้ยงหมดแล้วที่สำคัญไม่อร่อยค่ะถ้าจะสั่งก็จานเล็กๆพอ ปลากระพงทอดน้ำปลาเมนูนี้ก็ห้ามพลาดนะ ปลางี้กร๊อบกรอบ เนื้อปลาก็สดด้วยใส่น้ำจ้ิมเข้าไปแจ่มมากกกกหอยลายผัดพริกเผา ถึงเครื่องพริกเผาเข้าเนื้อกันสุดๆยำวุ้นเส้นรวมมิตรทะเลอยากรู้จังเค้าใช้วุ้นเส้นยี่ห้ออะไรมันเหนียวนุ่ม น้ำยำก็จี๊ดจ๊าด เมนูพื้นๆแต้ก็ห้ามพลาดเด็ดขาดเลยค่ะส้มตำปูม้า ก็งั้นๆแหละคอส้มตำจะรู้ว่ายังไม่แซ่บไม่ผ่านค่ะสลัดกุ้งกรอบ จานนี่ไม่ได้ชิม เพราะอิ่มแบบไม่ไหวแล้ว แต่เพื่อนนะตักกินไม่หยุดแล้วพูดว่าอร่อย ตักใส่ปากอีกก็บอกอีกอร่อยจัง อร่อยมาก เลยคิดว่าจานนี้คงจะอร่อยมากอ่ะนะตบท้ายด้วยข้าวเหนียวมะม่วงหอม มัน อร่อยแต่จานใหญ่มากกก ขอพูดถึงบรรยากาศร้านหน่อยนึงก่อนจะปิดจ๊อบ ร้านไม่ค่อยสะอาดเท่าไรค่ะที่ให้สามดาวเพราะบรรยากาศร้านนี่แหละแต่ก็ร้านอาหารจีนส่วนใหญ่เค้าก็ประมาณนี้กัน เสียงดัง กลิ่นไม่หอม การกินแข่งขันสูง555 เหมือนมาแข่งกินประมาณนั้น แต่ทุกเมนูก็ต้องให้สี่ดาวขึ้นนะ เพราะอาหารอร่อยจริ๊งจริงค่ะ "
4,"วันนี้มีโอกาสตื่นเช้าครับเลยถึงโอกาสออกมาหาอะไรอร่อยๆทานตอนเช้าๆครับ สําหรับเช้าๆนั้นจะมีตัวเลือกไม่มากเท่าไรโดยเฉพาะก๋วยจั๊บอร่อยๆเพราะของแบบนี้ต่อให้ใส่ถุงมาจากร้านดังเมื่อคืน เอามาอุ่นตอนเช้าความอร่อยจะลดจากทานที่ร้านไปเยอะทีเดียว 

ก๋วยจั๊บร้านนี้เป็นนํ้าข้นครับ ร้านไม่มีชื่อหาไม่ยากครับหน้าปากซอยมีร้านขายโจ๊กมองเข้ามาเห็นคนมุงเยอะๆ ร้านนั้นแหละครับ คนส่วนใหญ่จะสั่งใส่ถุงครับแต่จะทานที่ร้านก็ได้ โต๊ะมีน้อยมากกกกก 

ถ้าจะมาแนะนําให้มาเช้าหน่อยครับประมาณ 8 โมงเครื่องยังครบอยู่ ถ้ามาสายอาจได้ทานแต่หนังกับเต้าหู้ เพราะเจ๊ให้เครื่องไม่อั้น

ปล. ตบท้ายด้วยร้านขนมปังฝรั่งเศสหน้าปากซอย พร้อมกาแฟและอ่านข่าวไปด้วยเป็นการเริ่มวันที่ดีทีเดียว"
5,"ชอบมาทานร้านนี้ถ้าอยากกินอาหารเวียดนามใกล้บ้าน อยู่ในซอยราชครูเข้ามานิดเดียวทางซ้ายมือ
ที่จอดรถค่อนข้างน้อยเพราะต้องแชร์กับร้านค้าในเวิ้งเดียวกัน บางครั้งอาจต้องออกไปจอดตามซอยข้างๆ

อาหารที่นี่มีหลายหลากเมนู อร่อยทุกเมนูที่เคยทาน น้ำจิ้มให้มาอย่างสะใจ ขอเพิ่มได้ตลอด 
ร้านตกแต่งเหมือนร้านอาหารเวียดนามทั่วไป คือต้องมีรูปเกี่ยวกับเวียดนามและหญิงสาวเวียดนามแต่งตัวมาอวดทรวดทรงที่ผอมบางเพราะทานกันแต่ผัก 
ผิดหวังอย่างเดียวคือกาแฟเวียดนามไม่ได้มาในถ้วยกดให้น้ำหยด แต่ชงมาให้สำเร็จ รสชาติเลยไม่เข้มข้นและออกหวานเกินไป สั้งพวกน้ำผลไม้ปั่นแทน
ราคาเหมาะสมกับคุณภาพและปริมาณ
"
6,"เป็นร้านที่สะดุดตาที่สุดบนถนนจรัญ เลยก็ว่าได้ ถ้าวิ่งฝั่งรพ.ยันฮีไปปิ่นเกล้า ก็ให้สังเกตุแบงค์กรุงเทพ ร้านจะอยู่ติดแบงค์กรุงเทพเลย รั้วบ้านสีแดง เด็มไปด้ายต้นไม้ มีสวนร่มรื่น กาแฟอร่อย วันนั้นเห็นอาหารน่าทานเลยสั่งข้าวผัดกุ้งไป รอนานหน่อยเพราะคนเยอะ แม่ครัวน้อย แต่อาหารรสชาติดี ราคาไม่แพง กาแฟเย็นชื่นใจ อร่อย
*ร้านนี้ไม่มีหมู
*ร้านหยุดทุกวันพุธ (อาจเปลี่ยนแปลง)"
7,"สวัสดีเพื่อนๆสมาชิกนักรีวิวร้านอาหารชาว Wongnai.com ทุกท่านครับ
ไปกินไปเที่ยวถ่ายรูปเก็บความประทับใจมาฝากทุกคนสไตล์ Captain Ton กันอีกแล้วครับ

วันนี้ได้รับคำแนะนำจากคุณด๊ะ (อย่าเรียกว่าเชิญนะเพราะมื้อนี้เสียเงินเอง) PR ของโรงแรม LE FENIX แนะนำมา
ว่าตอนนี้กำลังมีเทศกาลบุฟเฟต์เบอร์เกอร์ พร้อมอาหารกลางวันแบบสุดคุ้ม ในราคาเพียง 229 บาท
พอดีว่าบ้านอยู่รามอินทรา ต้องถ่อไปไกลยันสุขุมวิท ก็ต้องคิดกันนิดนึง อืม.... ได้ครับ ตอบตกลงไป 
พร้อมจองที่ไว้แล้ว ออกเดินทางกันได้เลย.... ได้ยินของถูกเป็นไม่ได้เชียว-*-

มาถึงก็เดินลงมาจากสถานีรถไฟฟ้านานา เดินตรงมาอีกนิดนึง ถึงหน้าปากซอย เปิด Google Maps ดู
จะเดินเข้าไปก็กระไรอยู่นะ ไกลมาก... นั่งวินเข้าไปเลยก็แล้วกัน

ถึงแล้วโรงแรม LE FENIX ดูเล็กนิดเดียวเอง ส่วนตัวคิดว่ามันจะใหญ่กว่านี้ซะอีก
ไปๆเดินเข้าไปกัน ก่อนจะเข้าไปถามพี่ยามก่อนว่าห้องอาหารอยู่ชั้นไหน พี่ยามบอกชั้น 3 เลยครับ
ไม่รอช้าขึ้นลิฟต์ไปกันเลย

ออกมาจากลิฟต์ปุ๊ป ชนเข้ากับห้องอาหารแบบไม่ต้องเดินหาให้เมื่อยเลย ไม่รอช้า
ถ่ายรูปบรรยากาศมาให้ชมกันก่อนครับ ดูบรรยากาศสบายๆ น่านั่งนานๆดีครับ 

มุมติดหน้าต่างก็ดูนั่งสบาย รับแสงกลางวันมองรถวิ่งไปมาเบาๆ น่านั่งไปอีกแบบ
ก่อนจะเดินสำรวจก็ต้องบอกน้องๆเด็กเสิร์ฟกันก่อน เดี๋ยวแตกตื่นกันอีก คุณด๊ะ แนะนำมา
จองไว้ 2 ที่ครับ น้องวิ่งเข้าไปในครัวแล้วบอกว่าพี่เขามาแล้ว... วิ่งกลับออกมาบอกเราว่า
ถ่ายรูปได้เลยค่ะ คุณด๊ะให้เตรียมไว้หมดแล้ว งั้นผมไม่เกรงใจนะครับ เริ่มถ่ายเรียงกันเลย
ว่ามีอะไรให้เราทานกันบ้าง ผมจะไล่จากไลน์ด้านในออกไปนะครับ เริ่มจากมุมของทานเล่นกันก่อน

ข้าวผัดและไก่ผัดเม็ดมะม่วงหิมพานต์
ผักโขมอบชีส และเส้นสปาเก็ตตี้
ไวท์ซอสแฮมเห็ด และซอสมะเขือเทศ
ไก่เทริยากิ ดูสีมันเข้มข้นมาก 
หมูผัดซอสเม๊กซิกัน
ซุปมะเขือเทศข้นๆ
ขนมปังพร้อมเครื่องปิ้ง และมีบาร์ให้ตัดขนาดได้ตามใจ
เหล่าผลไม้สดบนน้ำแข็ง
เค้กและเครปต่างๆ
ไอศกรีมรสสรอเบอรี่ในถังน้ำแข็งท๊อปปิ้งเครื่องต่างๆได้ตามสไตล์เรา
ขนมไทยๆอย่างลอดช่อง ก็มีให้บริการ
น้ำดื่มต่างๆ พร้อมแก้วใบจิ๋ว
ชา กาแฟร้อน พร้อมนมและครีมสูตรต่างๆ เติมน้ำตาลได้ตามใจ

หมดบาร์ด้านนอกแล้วมาสำรวจบาร์ตรงกลางกันบ้าง
สลัดสูตรต่างๆที่เชฟปรุงมาให้พร้อมทาน
ก๋วยเตี๋ยวลุยสวนแบบไทยๆ
ยำวุ้นเส้น และลาบไก่
หมูมะนาวสีสันจัดจ้าน
ซูชิหน้าต่างๆ
สลัดบาร์พร้อมน้ำสลัดสูตรต่างๆ มีให้เลือกเยอะมาก
สำรวจเสร็จแล้ว กลับมานั่งพักที่โต๊ะกันก่อน

สำรวจเมนูเบอร์เกอร์กันก่อน ดูแล้วก็มีไม่กี่อย่างนะ เอางี้ละกันสั่งมาทุกอย่างเลยอย่างละ 2 ชิ้น
สั่งที่พนักงานได้เลย ถึงเราไม่สั่งก็มีน้องพนักงานมาวนที่โต๊ะให้เราสั่งได้สะดวกเลยครับ
ไปตักอาหารอื่นๆ แล้วมาเริ่มชิมกันดีกว่า

เริ่มออเดิร์ฟเบาๆกับขนมปังหน้าหมูกรอบๆหอมๆ โอโคโนมิยากิ กรอบนอกนุ่มใน 
และของทานเล่นสไตล์เม็กซิกัน เรียกว่าอะไรไม่รู้ แต่มีรสเปรี้ยวหวานเผ็ดๆ ทานกับแป้งกรอบๆอร่อยดีครับ

สปาเก็ตตี้ไวท์วอสแฮมเห็ด ไวท์ซอสเข้มข้น รสกลมกล่อม หอมกลิ่นแฮม ทานกับเส้นสปาเก็ตตี้
ที่ลวกมากำลังดี เหนียวนุ่มอร่อยมาก จานนี้แนะนำเลยครับ

ตามมาด้วยสลัดสูตรตามใจ Captain Ton ผักสดกรอบเย็นๆได้มาตรฐาน 
แต่น้ำสลัดนี้รสเข้มข้นอร่อยมาก เข้มข้นสะใจดีจริงๆ

ผักโขมอบชีสรสเข้มข้น เปรี้ยวครีมชีสเค็มๆและหอม 
ที่สำคัญมันเข้มข้นมากๆ ระวังจะเลี่ยนกันไปก่อนนะครับ 

จานนี้เป็นรวมอาหารไทย และสลัดแบบฝรั่งไว้ในจานเดียวกัน
เริ่มจากข้าวผัด จืดมาก เหมือนกินข้าวเปล่าเลยล่ะ แต่เอานะสไตล์ฝรั่ง
ไก่ผัดมะม่วงหิมพาต์ ไก่นำไปชุบแป้งทอกแล้วนำมาผัดด้วยซอสสูตรเข้มข้น อร่อยม๊าก
หมูมะนาวที่นี่ก็รสเปรี้ยวเค็ม ตัดหวานนิดๆพอกลมกล่อม หมูก็นุ่ม อร่อยอีกแล้ว
ลาบไก่ บอกได้คำเดียวว่าแซ่บมาก!!! เอาเป็นว่าอาหารไทยของที่นี่อร่อยสำหรับเราแต่ฝรั่งคงร้องจ๊ากเลยล่ะ
ส่วนสลัดทั้งแฮมเมลอน ไส้กรอกแอปเปิ้ลเขียว น้ำสลัดปรุงรสชาติมารสมันๆเปรี้ยวๆ ส่วนตัวว่า
ไม่ค่อยเข้ากันเท่าไหร่ แต่ผู้ช่วยบอกว่าอร่อยดี อืม... ลิ้นใครลิ้นมันนะ 

หมูผัดซอสเม๊กซิกันรสเข้มข้น หอมกลิ่นเหล้าจีนมาก ตอนแรกนึกว่าอาหารจีนด้วยซ้ำ หมูนุ่ม
อร่อยซอสเผ็ดๆ พอสะดุ้งแล้วก็หายไป อร่อยมากครับ จานนี้แนะนำอีกแล้ว

สปาเก็ตตี้ซอสมะเขือเทศ น้ำนองเขียว มะเขือเทศแบบว่าใสๆจืดๆหอมๆ ไม่ค่อยปลื้มครับ

ผัดผักรวมกุ้ง อ้าวไม่มีในไลน์เมื่อกี้นิ ผู้ช่วยบอกว่าไก่ผัดเม็ดมะม่วงหมด เห็นเชฟเอามาเติม
เลยตักมาให้ชิมดู กุ้งเด้งกรอบ ผักก็กรอบแต่ซอสข้นจนถึงเค็มไปหน่อย ผมว่าทานกับข้าวสวยคงลงตัวเลยล่ะ

ซุปมะเขือเทศรสเข้มข้นมาก เหมือนจะใส่แครอทและครีมลงไปอีก 
สำหรับผมว่าเลี่ยนและเหม็นมะเขือเทศไปหน่อย ลงมติกันว่าไม่ผ่านครับ

หมดไลน์อาหารไปแล้ว มาชิมเบอร์เกอร์ที่เราสั่งไปดีกว่า กับHawaiianหมู 
รสหวานเปรี้ยวของสับปะรด เข้ากับหมูสับผสมหอมใหญ่และแครอท ที่ถูกนำมาทำเป็นไส้อย่างดีอร่อยครับ

Hawaiianเนื้อ รสไม่ต่างจากเมื่อกี้เท่าไหร่ แต่ว่าหอมกลิ่นเนื้อเพิ่มมากอีกหน่อย อร่อยเข้าไปอีก

เบอร์เกอร์เห็ด มีแต่เห็ดอัดแน่นๆเลย แต่รสชาตินั้นค่อนข้างจืดไปหน่อย 
แต่สำหรับคนชอบเห็ด เมนูนี้ห้ามพลาดครับ 

เบอร์เกอร์กอร์ดอนบลูหมู ที่เป็น Signature คุณด๊ะแนะนำมา ไหนล่ะชีสอ่ะ???
ลองเปิดดููสักหน่อย อ๋ออยู่นี่เอง ส่วนรสชาตินั้นอร่อยมากครับ หอมกลิ่มแฮมและเซดด้าชีส
รสเค็มๆมันๆกำลังดี อร่อยสมกับที่เป็นเมนนูแนะนำเชียวล่ะ

เบอร์เกอร์ปลาทอด ส่วนตัวผมว่าจืดไปหน่อย น่าจะเพิ่มมายองเนส
หรือทาร์ทาร์ซอสลงไปอีกนิด จะแจ่มมาก

เบอร์เกอร์คลาสิคหมู รสหมูผสมหัวหอมและแครอท ตัดกับชีสเค็มๆ อร่อยดีครับ
เบอร์เกอร์ไก่คลาสิค ไก่มาเป็บแบบชิ้นๆต่างจากเมื่อกี้ หมักมาไม่เข้มข้นมาก จืดกว่าหมูอีก
เบอร์เกอร์เนื้อคลาสิค อร่อยได้รสเนื้อหอมๆ กับชีสเค็มๆ รสชาติที่ผมคุ้นเคย

เบอร์เกอร์ไก่เม๊กซิกกัน รสชาติแบบเดียวกับหมูเม๊กซิกันที่เป็นจานๆเมื่อกี้เลย อร่อยดีครับ
เบอร์เกอร์ไก่เทริยากิ จืดไปหน่อย หมักมาไม่ค่อยเข้าเนื้อ จานนี้ไม่ผ่านครับ

ชิลลี่ชีสเบอร์เกอร์เนื้อปรุงรสแบบเม๊กซิกัน รสเผ็ดๆหอมๆทานเข้ากับชีสรสมันๆ เค็มๆอร่อยครับ
เบอร์เกอร์เนื้อโรส ที่หอมและนุ่มชุ่มฉ่ำมาก ใครรักเนื้อจานนี้ห้ามพลาด แนะนำเลยครับ เนื้อชั้นเยี่ยมจริงๆ

ไปตบท้ายของหวานกัน มองไปอีกที คนเยอะมาก แน่นร้านเชียวล่ะ 
ก็ราคาถูกและก็รสชาติใช้ได้นี่นา คนเยอะก็ไม่แปลกเนอะ

ตบท้ายด้วยเค้ก ราสเบอรี่ บลูเบอรี่ เทรามิสุ และคัสตาร์ต บอกได้เลยว่าไม่อร่อย
เลยเรียกน้องเด็กเสริฟมาถาม ได้ความมาว่าสั่งมาจากโรงแรมอื่น ต้องขออภัยด้วย
เป็นโรงแรมดังอีกต่างหาก เอาเป็นว่า ""เรื่องนี้ริวจะไม่ยุ่ง""

ทานไอศกรีมสตรอเบอรี่กับเครปกลิ่นหอมไข่ ท๊อปปิ้งด้วยแอปเปิ้ลผัดเนยกับชินเนม่อน
ไอศกรีมละลายเร็วมาก ถ่ายรูปแทบไม่ทันเชียวล่ะ

คิดบิลออกมา ราคา 458 บาท Netแล้ว อันที่จริงราคานี้ไม่รวมน้ำดื่ม แต่มีลูกค้าจาก En.... มาด้วย
จึงมีบริการให้ ถ้าไม่มีมาวันธรรมดาก็จะมีน้ำแก้วใหญ่ให้บริการ มีเก็บค่าน้ำอีกนิดหน่อยนะครับ
เทศกาลเบอร์เกอร์นี้ มีไปจนถึงวันที่ 31 ต.ค. 56 นี้เท่านั้นนะครับ โดยรวมแล้วผมให้คะแนน 4/5 ก่อน
เพราะของทานต่างๆมีน้อย แต่สมราคา อร่อยบ้างไม่อร่อยบ้าง ให้คะแนนเท่านี้ก่อนนะ

ครั้งหน้าผม Captain Ton จะพาทุกท่านไปกินไปเที่ยวตามสไตล์ของผมที่ไหนอีก 
ติดตามกันได้ที่นี่ และ https://www.facebook.com/CaptainTonEatTravel หรือตามเครดิตในรูปได้เลยนะครับ"
8,"Starbucks 
เกี่ยวกับร้าน: 
ร้าน Starbucks นี้อยู่ใน Central เชียงราย อยู่ที่ชั้น 1 บริเวณด้านหน้าของห้าง

การตกแต่งของร้าน:
ตกแต่งร้านแบบ Starbucks ทั่วไปโทนสีครีม น้ำตาล เก้าอีนั่งสบาย ร้านสะอาด เรียบร้อย แอร์เย็นสบาย

อาหารจานเด็ด: กาแฟ


ราคาเฉลี่ย: 75-150 บาท

วิจารณ์อาหาร:
กาแฟ Americano (75 บาท) เมื่อเทียบกาแฟที่ Starbucks กับที่อื่นแล้ว ที่นี่จะนุ่มกว่า น่าจะเป็นกาแฟแบบ blend ใช้ของไทยส่วนหนึ่ง ใช้ของนอกส่วนหนึ่ง เป็นกาแฟที่ดื่มง่าย การชงไม่เข้มมาก ทำให้กลิ่นออกมาไม่ชัดเจน แต่ส่วนตัวชอบเข้มหน่อย จึงไม่คุ้น 

ไปร้านตอนก่อนปิด ทางร้านพยายามขายกาแฟดริปที่ทำค้างมาระยะเวลาหนึ่ง มีการใช้ชิมก่อน แต่รสชาติไม่ค่อยดีแล้ว และราคาเท่ากัน

คะแนนตามหัวข้อ:
<บรรยากาศ> 9/10 ร้านเรียบร้อย สะอาดสะอานมาก น่านั่ง
<รสชาติอาหาร> 6/10 รสอ่อน ไม่ค่อยหอม
<บริการ> 6/10 ไม่ได้มีบริการอะไรเป็นพิเศษ นอกจากพยายามขายของ
<ความคุ้มค่า> 6/10 แล้วละ 75 บาท แก้วมัคเล็กๆ จัดอยู่ในเกนฑ์ราคาสูงครับ

ข้อสรุป: กาแฟราคาสูง แต่ร้านบรรยากาศดี น่านั่งมากๆ

สามดาว ให้กับบรรยากาศร้านแต่คิดว่าไม่ค่อยคุ้มเมื่อเทียบกับคุณภาพกาแฟ

หมายเหตุ:
การวิจารณ์นี้เป็นความเห็นส่วนตัวครับ คนเราชอบไม่เหมืิอนกัน ถ้าวิจารณ์ไม่ถูกใจก็โปรดให้อภัยนะครับ คิดว่าเป็นความเห็นหนึ่งนะครับ จะได้ชนะคู่แข่งได้ เพราะเดี๋ยวนี้ร้านอาหารเยอะมากๆครับ เอาใจช่วยครับ"
9,"
ร้านเบอเกอรี่ร้านนี้อยู่ในร้านล้างรถชื่อว่า ไชนี่คร่า อยู่ในซอยสุทธิสารทางที่จะทะลุออกไปฝั่งลาดพร้าว64 อยู่ประมาณกลางๆซอย ก่อนถึงสะพานกลางซอย ถ้าขึ้นสะพานไปคือเลยแล้ว ร้านนี้เป็นร้านล้างรถใหญ่โตพอสมควรอยู่ติดกับปั้ม ปตท เลยครับ ถ้าเอารถมาล้างที่นี่ก็จะมีร้านกาแฟให้นั่งรอก็คือร้านนี้นี่เอง มีทั้งด้านนอกเป็นโอเพ่นแอร์ และด้านในที่เป็นห้องแอร์ ถ้าเข้าด้านในต้องถอดร้องเท้าด้านนอกด้วยนะคะ แต่ไม่ว่าจะนั่งตรงไหนก็จะมีแม่บ้านนำน้ำมาเสริฟให้ถึงที่ ด้านในมีขายเบอเกอรี่ แซนวิส และพวกกาแฟ รสชาติจัดว่าทั่วไปครับ แต่ที่ร้านจะมีคอมพิวเตอร์ให้เล่น 3 เครื่องสำหรับรอล้างรถด้วยแหละ ราคาไม่แพงมาก แต่รสชาติก็ธรรมดา

"
10,"ร้านส้มตำเจ๊พิมอยู่ถนนเลี่ยงตลาดหนองมน
เป็นร้านเล็กๆสังกะสี แต่คนมาทานเยอะใช้ได้เลย เข้ามาสั่งส้มตำกันตลอด บ่งบอกถึงความอร่อย

ขายส้มตำ ไก่ย่าง ปลาย่าง อาหารอีสานทั่วๆไป

พูดถึงรสชาติอาหาร
ส้มตำไทย : ทานเผ็ดไม่เก่งเลยสั่งแค่พริก2เม็ด ส้มตำได้เยอะมากค่ะ รสชาติเบาไปหน่อย ไม่ค่อยออกรสชาติอะไรเลย แต่สีสันดูน่าทาน

น้ำตกคอหมูย่าง : มันเป็นหมูแบบติดมันที่จ๊ะจ๋าไม่ชอบทานอ่ะค่ะ เลยต้องมานั่งตัดออกทุกคำเลยก่อนจะทาน ต้องยอมเพราะรสชาติอร่อย อร่อยจริงๆ ฮ่าๆ

ต้มแซ่บกระดูกอ่อน : แซ่บมากกกจนสำลักเลย น้ำตาไหล มันเผ็ดร้อนสุดๆเลยค่ะ 

จะบอกว่ายังไงดี ชอบแกงาร้านนี้จัง 555 มันกรอบสดอร่อยมากๆ ให้แบบไม่หวงเลยค่ะ 

จ๊ะจ๋าเคยไปนั่งทานทีาร้านหนึ่งแค่ไม่ค่อยชอบ เพราะร้านที่ขายส้มตำส่วนใหญ่ก็แบบนี้หมดล่ะค่ะ รู้สึกว่ามันไม่ค่อยสะอาด ครั้งนี่เลยซื้อกลับมาทานดีกว่า มีความสุขกว่าเยอะ ราคาอาหารไม่แพงนะคะ"
